num_leaves	min_data_in_leaf	feature_fraction	learning_rate	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
231	4818	0.135415364610655	0.0100479081694582	0.932097837836186	14			496.352000000001	-0.00126722492805781		0.0169999999998254	infill_ei	0.367000000000189	0.00159761528347605	0.933019907870511	1081
125	6691	0.378598135390095	0.0100264843557416	0.93200776041205	6			782.067000000001	-0.00177629924244693		0.0190000000002328	infill_ei	0.329999999999927	0.00163950365479491	0.933573639474646	1032
61	7955	0.33867243747316	0.0100004233715644	0.931933898622231	1			701.902	-0.00542006472293709		0.0299999999997453	infill_ei	0.29700000000048	0.00647595304181271	0.935037850913903	1158
207	6329	0.115813510482247	0.0100434277997752	0.931878799424999	5			464.09	-0.00416208654225133		0.0339999999996508	infill_ei	0.256000000000313	0.00353807745257042	0.935857472255256	1164
70	4895	0.166434849671811	0.0100122210771868	0.931842802414788	11			500.606	-0.00123297703216644		0.0390000000006694	infill_ei	0.350000000000364	0.00228656746632889	0.932590390120409	1087
76	8187	0.593020221646718	0.0100127439938749	0.931747206581069	12			937.428	-0.000652778426358396		0.032999999999447	infill_ei	0.39600000000064	0.00118670505596592	0.932331456189637	971
42	5648	0.567083275173448	0.0100673874853559	0.931669014962191	2			1083.948	-0.00221696925998033		0.024000000000342	infill_ei	0.30199999999968	0.00353154635783752	0.933332075167614	1435
64	6216	0.309321354481347	0.0100100840119516	0.931295885575692	13			701.777	-0.000800690639086022		0.0520000000014989	infill_ei	0.384000000000015	0.00063095299320108	0.932774098067667	1144
256	8189	0.575664139117544	0.0100184554509175	0.931258784883565	7			1075.977	-0.00137862608148508		0.0419999999994616	infill_ei	0.253000000000611	0.00348900995138892	0.931981104155934	1090
190	7078	0.551634426774358	0.0101130400616426	0.93123993739237	18			946.131000000001	-0.00112609600855883		0.0199999999967986	infill_ei	0.429000000000087	0.00133053567310416	0.933035295092574	929
111	5618	0.539946457232678	0.046370189011062	0.930991439163864	17			469.753999999997	-0.00181935447886253		0.0400000000008731	infill_ei	0.42699999999968	0.00174764849339264	0.933756995356859	220
156	5175	0.112347430421173	0.0100127480437567	0.93093056686122	20			468.171000000002	-0.00105936250748076		0.0519999999996799	infill_ei	0.379999999997381	0.00145091939889102	0.932890364806258	1163
69	7427	0.897814897474079	0.0399196202228883	0.930804747122701	3			376.023999999999	-0.00150926923726215		0.0279999999993379	infill_ei	0.342999999999847	0.00366777474350708	0.932025072143838	276
6	6003	0.847305435358903	0.1394475974428	0.930555399908106	0			223.89				initdesign				589
200	7644	0.11725255047201	0.0100575684919232	0.930281262299686	9			515.963	-0.00135461331068428		0.106999999999971	infill_ei	0.382000000001426	0.00206435519105303	0.932913744470656	1344
230	6942	0.489617086409208	0.0735523861047454	0.930200693519757	0			347.126				initdesign				139
193	3575	0.10629554193747	0.0101212680052475	0.930163762624848	19			394.384999999998	-0.00130643027576643		0.0319999999992433	infill_ei	0.457000000002154	0.00309712690829144	0.932237052621234	851
256	5869	0.709557328281388	0.0247963056688909	0.929138951515763	10			527.044	-0.00115840451465007		0.0540000000000873	infill_ei	0.365999999999985	0.00214216813768478	0.932559072382438	375
181	3663	0.858310017287378	0.0404047958278848	0.92900676438157	0			438.975				initdesign				218
256	7379	0.899869452996303	0.14791199999614	0.927424848600311	8			314.413	-0.000727592300178425		0.0339999999996508	infill_ei	0.362999999999374	0.00405266141386559	0.929732954559962	75
208	2114	0.252680793022179	0.050644885982273	0.926317940536335	0			255.635				initdesign				123
106	5258	0.237399027643026	0.174592152829758	0.926073432542452	0			176.903				initdesign				37
44	8180	0.898293970407386	0.163815019607086	0.925201523828153	16			226.880999999998	-0.00352436337387112		0.0519999999996799	infill_ei	0.38799999999901	0.00316990742592867	0.935374624790619	87
2	8191	0.354431451625985	0.100415128558046	0.924074070300803	4			1635.312	-0.00133796638782682		0.0360000000000582	infill_ei	0.326000000000022	0.00301246779276375	0.932197064077925	3916
142	6208	0.622685216394841	0.32174802891106	0.922475005000528	0			293.06				initdesign				28
2	4380	0.899775309507115	0.0100573181317463	0.921771025734806	15			1776.738	-0.0013018248830551		0.0320000000010623	infill_ei	0.338999999999942	0.00261898850110564	0.932576965637585	9999
113	4971	0.375224281043431	0.284862212930332	0.921620924994117	0			319.358				initdesign				29
220	7807	0.538215712376141	0.382713918616092	0.920069402914875	0			291.955				initdesign				22
147	4435	0.429308231756117	0.238148295927058	0.91903202681166	0			267.38				initdesign				20
82	3025	0.72366496980477	0.20567268161174	0.917645717425507	0			218.433				initdesign				43
28	7328	0.663422080337022	0.480806151272742	0.915202462806768	0			154.973				initdesign				34
49	149	0.583892414439382	0.126097950070165	0.914613775852051	0			237.17				initdesign				60
64	1304	0.163495453763067	0.289641657032152	0.905357662557914	0			133.128				initdesign				27
74	1561	0.336103201322133	0.362421969527645	0.899874995288127	0			183.18				initdesign				11
248	3206	0.147312146853871	0.445040698630116	0.898787019613956	0			216.277				initdesign				200
166	621	0.78820538022479	0.418454314718488	0.888713587411098	0			210.445999999999				initdesign				1
