Feature	Gain	Cover	Frequency
ctrx_quarter	0.225993952488668	0.0231374992571359	0.0204285714285714
mcaja_ahorro	0.0975711328036175	0.0175613654044756	0.0191428571428571
mcuentas_saldo	0.0363904930682196	0.0059499408215884	0.0224285714285714
mtarjeta_visa_consumo	0.0340292022325637	0.0152123256842667	0.012
cpayroll_trx	0.0333978231642898	0.0210784600457819	0.0148571428571429
mcuenta_corriente	0.0330817658116763	0.0222610569476784	0.0191428571428571
mpayroll	0.0295873270070903	0.0231315619385197	0.0147142857142857
mpasivos_margen	0.0208577613089016	0.0165826384788918	0.02
cliente_edad	0.0170028988366529	0.0140142053005065	0.0294285714285714
mrentabilidad_annual	0.0164886235063943	0.0154540699050282	0.0238571428571429
Visa_status	0.0148493057669568	0.00529076368950136	0.00585714285714286
cprestamos_personales	0.0144993534708505	0.0123717090383728	0.0127142857142857
cdescubierto_preacordado	0.0143952046176836	0.00814584349097939	0.00828571428571429
mactivos_margen	0.0134220993810259	0.00830945920989897	0.0187142857142857
Visa_fechaalta	0.0116098004995677	0.00870841142242257	0.0215714285714286
mcuenta_debitos_automaticos	0.0109065636762726	0.0208851933322656	0.0135714285714286
Master_fechaalta	0.0108796889412969	0.0215514443917146	0.0205714285714286
ctarjeta_visa_transacciones	0.0107248738887641	0.00796920889783503	0.00842857142857143
mrentabilidad	0.010577869557899	0.00709780631664183	0.0172857142857143
Visa_Fvencimiento	0.0105271771163109	0.00356855733572726	0.021
Visa_mpagospesos	0.0102982718220021	0.00261879740529361	0.0118571428571429
chomebanking_transacciones	0.0102904467487533	0.00406659030079834	0.0175714285714286
ccomisiones_otras	0.010042776924351	0.0098430673370858	0.0107142857142857
Visa_Finiciomora	0.00960489363555532	0.0196886011405775	0.0128571428571429
Visa_mpagominimo	0.00959317090787694	0.0278566733421961	0.0168571428571429
mprestamos_personales	0.00945509868054656	0.0225625532241837	0.0155714285714286
mcomisiones	0.00864855369295165	0.00211266578506512	0.0127142857142857
cproductos	0.00829993588846372	0.0271372940878149	0.0191428571428571
Visa_cconsumos	0.00790649881011766	0.0140361466805232	0.0148571428571429
cliente_antiguedad	0.00785229445049853	0.00211399818547406	0.0141428571428571
Visa_mconsumospesos	0.00753797874949275	0.000957937410806091	0.0124285714285714
numero_de_cliente	0.00748821331382091	0.00669080630393825	0.0141428571428571
Visa_msaldopesos	0.00729146927645551	0.0048191092012287	0.01
Master_Fvencimiento	0.00728503428205529	0.00943689880326338	0.0145714285714286
Master_mpagospesos	0.00726361420809796	0.00871338503921626	0.01
ctarjeta_debito_transacciones	0.00717714221974019	0.0131103318162175	0.0132857142857143
internet	0.00645885968324029	0.0138345346652089	0.00942857142857143
mcomisiones_mantenimiento	0.00645714568846962	0.00797199575059877	0.00971428571428571
Master_status	0.00635629725617958	0.00173146704516602	0.00242857142857143
mtransferencias_emitidas	0.00621953826292634	0.00933800367138356	0.01
mcaja_ahorro_dolares	0.00600984315453118	0.00138849344906014	0.00942857142857143
mtransferencias_recibidas	0.00569336944001329	0.00203505600399305	0.00814285714285714
Visa_mfinanciacion_limite	0.00548242051242721	0.0023461791277279	0.0107142857142857
mttarjeta_visa_debitos_automaticos	0.00523007670597641	0.00566920100412543	0.00871428571428571
mautoservicio	0.00512427057781245	0.00298388528833953	0.0111428571428571
Master_mfinanciacion_limite	0.00505544410069443	0.00784138491203813	0.0105714285714286
ctransferencias_recibidas	0.0049004110857176	0.0240435595054549	0.0141428571428571
mtarjeta_master_consumo	0.00436604397712842	0.0160106623766221	0.00828571428571429
Visa_msaldototal	0.00436135705811347	0.000712030710141041	0.005
mpagomiscuentas	0.00431765055602533	0.00634912696700823	0.00571428571428571
mttarjeta_master_debitos_automaticos	0.00404414080919771	0.031486973706034	0.0137142857142857
Master_mlimitecompra	0.00402329969695134	0.00738252553608952	0.009
Master_msaldototal	0.00385659186279707	0.0141426827727635	0.00957142857142857
cpagomiscuentas	0.00362100793995109	0.0160429171460638	0.0125714285714286
Visa_mconsumosdolares	0.0035379794124862	0.0155469387220813	0.009
tmobile_app	0.00325375096003961	0.00698827486623031	0.00414285714285714
Master_mpagominimo	0.00315710783269206	0.00293101391104344	0.00528571428571429
Master_msaldodolares	0.00314649429926648	0.0073021390732492	0.00828571428571429
ctarjeta_master_transacciones	0.00309182329771324	0.00845624701678345	0.00714285714285714
ctarjeta_debito	0.00296145434625493	0.00559561130902004	0.006
ctransferencias_emitidas	0.00295082772152199	0.00197546414142818	0.00428571428571429
ctarjeta_visa_debitos_automaticos	0.00294034882344842	0.00352217505355258	0.00542857142857143
ccaja_seguridad	0.00274584828213867	0.0190755393020335	0.008
Visa_mlimitecompra	0.00272268333989493	0.00514441577817173	0.00528571428571429
Visa_mpagado	0.00265451372942208	0.00538832896372111	0.00657142857142857
