num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
1997	0.0284792516024186	0.600044988748492	38	147	0.932170869156014	31			84.8600000000006	-4.52829404251207e-05		0.0299999999988358	infill_ei	0.329999999998108	0.000793029474250898	0.930706108871738	51
1398	0.0192985672005252	0.600209606262909	32	508	0.93165091093019	15			76.2099999999991	-0.000327032162320952		0	infill_ei	0.25	0.000721069120270872	0.930822484620391	35
1163	0.0191596899559209	0.607547827002182	43	509	0.931194403222877	51			87.5499999999993	-0.000105378849873806		0.0400000000008731	infill_ei	0.389999999999418	0.00106136155489639	0.931209013323383	71
1410	0.0197400624079269	0.678415079248568	32	132	0.931179581763992	53			66.5900000000002	-7.69601552730193e-05		0.0499999999992724	infill_ei	0.389999999999418	0.000898683443544144	0.931285189052041	73
1466	0.0208196637358068	0.601307264942547	32	460	0.931072885368618	24			110.700000000001	-7.30529417381864e-05		0.0300000000024738	infill_ei	0.279999999998836	0.000292146399790502	0.931550203898781	44
1068	0.0177548981788511	0.667382980195279	32	512	0.931069590820388	47			89.0800000000018	-0.000161227820188603		0.0799999999981083	infill_ei	0.409999999999855	0.000649998123176911	0.931943213082048	67
1285	0.0233863697365528	0.605452758459476	32	592	0.931029915602898	17			61.880000000001	-0.000203531182752695		0.0200000000004366	infill_ei	0.229999999999563	0.000788984773306479	0.931395840737932	37
1793	0.0234590004392438	0.60008867928989	40	137	0.931023890923248	52			77.880000000001	-0.000277260106627086		0.0900000000001455	infill_ei	0.389999999999418	0.000735713651028058	0.932137781242956	72
850	0.0172682023828494	0.615646877565494	431	68	0.930992438696061	48			139.150000000001	-4.83871085778732e-05		0.0400000000008731	infill_ei	0.379999999997381	0.00145408434047252	0.930071559454778	68
2000	0.0223087859827199	0.607043140227691	32	290	0.930951882186015	21			83.2999999999993	-7.3869666246939e-05		0.0300000000024738	infill_ei	0.259999999998399	0.00115319827184463	0.930342511321154	41
1997	0.0133814748848586	0.613395958297894	90	145	0.930926100399889	57			150.260000000002	-0.000137183581343465		0.0900000000001455	infill_ei	0.379999999997381	0.000569049113554877	0.931960533014024	77
1535	0.0190442185634562	0.675086744756294	32	699	0.930746907517494	5			69.6599999999999	-0.000468433352925557		0	infill_ei	0.220000000001164	0.00128455947821187	0.930359120823903	25
