num_leaves	min_data_in_leaf	feature_fraction	learning_rate	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
181	3663	0.858310017287378	0.0404047958278848	0.930883218699379	0			115.26				initdesign				201
195	1611	0.463760381527061	0.0100121285347586	0.930850816708849	11			392.48	-0.000793542427621321		0.0200000000004366	infill_ei	0.199999999999818	0.00105241290001413	0.931493321404595	895
249	1706	0.603014862455554	0.0100053433492066	0.930659799827174	2			312.97	-0.00122449510964053		0.0100000000002183	infill_ei	0.169999999999618	0.00409468137504512	0.929987218600054	879
57	5615	0.899994894124229	0.0100825635978934	0.930393972467362	6			174.29	-0.000910328344586454		0.0199999999999818	infill_ei	0.210000000000036	0.00336640147921596	0.929905344946192	1241
163	6147	0.899070783107627	0.0100950696494179	0.930347394605974	20			221.95	-0.000588118440467353		0.0100000000002183	infill_ei	0.239999999999782	0.00139469650236592	0.930945538055535	889
70	3852	0.398201262593694	0.0223897738243341	0.930253405008442	1			136.32	-0.00139339028172847		0.0500000000001819	infill_ei	0.199999999999818	0.00473745500954628	0.929789827927447	367
208	2114	0.252680793022179	0.050644885982273	0.930213498145105	0			143.88				initdesign				106
98	4438	0.899043457203463	0.0100174226472994	0.930161202285389	19			209.77	-0.00138715083968508		0.0200000000004366	infill_ei	0.229999999999563	0.001386892138597	0.932131005838415	938
57	3717	0.899801220289506	0.0100409603096702	0.930013666016006	14			155.69	-0.00110994412009089		0.0200000000004366	infill_ei	0.210000000000036	0.0017031616172642	0.93161923017681	1016
125	2588	0.659836549894931	0.0262682900203423	0.929991032272621	4			142.86	-0.00146061055253835		0.0199999999999818	infill_ei	0.200000000000273	0.0025414193299995	0.93167825898737	390
189	4885	0.892787287816722	0.0100440945723005	0.929978464588794	9			218.53	-0.00088710699253174		0.0199999999999818	infill_ei	0.190000000000055	0.00120804165874178	0.931550245613823	634
256	14	0.247545946869411	0.0100535491518304	0.929730922911138	17			396.11	-0.00225131833708597		0.0200000000004366	infill_ei	0.220000000000255	0.00249043276320701	0.932824114051521	895
64	4852	0.89922276255656	0.0570159777329847	0.929423223126063	8			77.8900000000003	-0.000751014700739818		0.0199999999999818	infill_ei	0.199999999999818	0.00181293613788055	0.930938072276079	214
205	2697	0.690682162555979	0.0203657125048808	0.929150963018131	16			192.02	-0.00071228916638857		0.0299999999997453	infill_ei	0.230000000000473	0.00107035256475767	0.931367742346644	393
256	3489	0.54257446860665	0.0394641547207671	0.929121003089387	5			166.87	-0.00106184236222405		0.0299999999997453	infill_ei	0.210000000000036	0.00182499885747599	0.931474899900383	165
236	1668	0.899478588856566	0.0403969853420707	0.928646766602983	10			180.04	-0.000704481588780717		0.00999999999976353	infill_ei	0.190000000000055	0.00179632616438471	0.930858788415595	216
191	3638	0.100172130632279	0.010065524436963	0.928588335807559	3			206.48	-0.0010464281793546		0.00999999999976353	infill_ei	0.170000000000073	0.00327944162459787	0.930321116866799	714
228	17	0.89993111961831	0.0100857119264772	0.928461467719636	7			253.1	-0.00135726921138979		0.0300000000002001	infill_ei	0.179999999999836	0.00215764796887814	0.931741704266433	616
158	5190	0.571766921796961	0.0421587841718432	0.928100042575263	15			155.05	-0.000566462267161948		0.0299999999997453	infill_ei	0.220000000000255	0.00132326638539246	0.930958616021319	162
89	1604	0.100059931710542	0.0375741258154983	0.927831773153664	18			89.5600000000004	-0.00104047705002292		0.0100000000002183	infill_ei	0.219999999999345	0.00236669787094918	0.931069946740472	250
230	6942	0.489617086409208	0.0735523861047454	0.926781210085691	0			96.3199999999999				initdesign				90
177	4101	0.846892063912061	0.0966569429361559	0.926358078209352	13			98.4499999999998	-0.00094994018844562		0.0199999999995271	infill_ei	0.220000000000255	0.00266663453118392	0.930647096994997	58
6	6003	0.847305435358903	0.1394475974428	0.926234188245559	0			31.71				initdesign				541
106	5258	0.237399027643026	0.174592152829758	0.924291677000758	0			72.7599999999998				initdesign				38
113	4971	0.375224281043431	0.284862212930332	0.923572013304829	0			198.55				initdesign				28
147	4435	0.429308231756117	0.238148295927058	0.92192427678638	0			115.07				initdesign				26
49	149	0.583892414439382	0.126097950070165	0.921874780363346	0			58.56				initdesign				54
82	3025	0.72366496980477	0.20567268161174	0.921124114395228	0			57.72				initdesign				25
142	6208	0.622685216394841	0.32174802891106	0.9204177926954	0			68.25				initdesign				17
2	8187	0.764516567572724	0.0346974649653289	0.919802929187594	12			168.37	-0.000802362086597351		0.0100000000002183	infill_ei	0.210000000000036	0.00314670235844358	0.929840690428208	6436
64	1304	0.163495453763067	0.289641657032152	0.912240161647813	0			51.3				initdesign				20
220	7807	0.538215712376141	0.382713918616092	0.909402128477228	0			103				initdesign				17
28	7328	0.663422080337022	0.480806151272742	0.89905433837637	0			40.4099999999999				initdesign				174
74	1561	0.336103201322133	0.362421969527645	0.898138982143883	0			72.8599999999999				initdesign				62
248	3206	0.147312146853871	0.445040698630116	0.897172997801192	0			130.83				initdesign				282
166	621	0.78820538022479	0.418454314718488	0.895551319868877	0			77.2200000000003				initdesign				1
